"Income","Expected Income","Unexpected Income"
"Intercept","-0.338*** (0.024)","-0.275*** (0.024)","0.013*** (0.007)"
"L1(dep. var.)","-0.577*** (0.011)","-0.515*** (0.015)","-0.671*** (0.008)"
"L2(dep. var.)","-0.381*** (0.01)","-0.381*** (0.013)","-0.496*** (0.008)"
"L3(dep. var.)","-0.212*** (0.009)","-0.119*** (0.012)","-0.325*** (0.008)"
"P1(dep. var.)","-0.455*** (0.007)","-0.365*** (0.01)","-0.511*** (0.005)"
"",NA,NA,NA
"R-squared","0.581302759486702","0.586081081173342","0.620242295786857"
"# households","421","421","421"
"Time periods used","19","17","17"
"Total # observations","7999","7157","7157"
"DW statistic","1.27","1.4","1.33"
"Barghava et al Durbin Watson Statistic","1.27","1.4","1.33"
"Baltagi-Wu LBI statistic","1.35","1.52","1.38"
